,Equipment,Sub equipment (if applicable),Down time issue,Machine/ process stop time,Machine/ process start time,Time taken (Duration),"Type (B/D, PM, SC, Process)",Attended by - department,Attended by - senior PM/ PC/ other,Issue,Temporary action taken
376,CCM,CCM,c/b prob,0:06,0:50,0.73,B/D,Mechanical,,,
377,CCM,CCM,c/b prob,4:26,5:20,0.9,B/D,Mechanical,,,
378,CCM,CCM,c/b prob,5:45,6:00,0.25,B/D,Mechanical,,,
379,diabola ,diabola ,hydrulic oil leakage from diabola,23:10,23:55,0.75,B/D,Mechanical,,,
380,core ring ,core ring ,core ring change ,2:03,2:22,0.32,B/D,Mechanical,,,
381,extractor ,extractor ,extractor stopper arm broken,6:18,7:30,1.2,B/D,Mechanical,,,
382,extractor ,extractor ,extractor stopper broken,8:40,9:02,0.37,B/D,Mechanical,,,
383,Trough ,Trough ,Trough alignment ,21:15,22:20,1.08,B/D,Mechanical,,,
384,Trough ,Trough ,trough centering done,2:50,4:30,1.67,B/D,Mechanical,,,
385,sector ladle ,sector ladle ,sector ladle not up,11:25,11:42,0.28,B/D,Mechanical,,,
386,Core loader,Core loader,Core loader centering change,22:50,23:10,0.33,B/D,Mechanical,,,
387,Core loader,Core loader,Core loader centering check,6:00,6:35,0.58,B/D,Mechanical,,,
388,Trough ,Trough ,A side trough pressing roller change,22:52,23:10,0.3,B/D,Mechanical,,,
389,CCM,CCM,m/c under mechanical due to drawn pipe remove ,8:40,13:40,5,B/D,Mechanical,,,
390,Trough ,Trough ,b side trough tilting cylinder hose pipe change ,0:05,0:35,0.5,B/D,Mechanical,,,
391,core loader,core loader,core loader wheel change,17:45,17:55,0.17,B/D,Mechanical,,,
392,Trough ,Trough ,A side trough pressing roller change,8:50,9:00,0.17,B/D,Mechanical,,,
393,Core loader,Core loader,c/b prob,11:10,11:26,0.27,B/D,Mechanical,,,
394,Core loader,Core loader,c/b prob,12:15,13:10,0.92,B/D,Mechanical,,,
395,core ring ,core ring ,core ring change ,13:49,14:35,0.77,B/D,Mechanical,,,
396,CCM,CCM,m/c down before skt filling ,18:56,19:07,0.18,B/D,Mechanical,,,
397,PTT,PTT,PTT striker welding ,15:10,15:15,0.08,B/D,Mechanical,,,
398,Trough ,Trough ,A side trough joint area welding,6:25,7:15,0.83,B/D,Mechanical,,,
399,Mould,Mould,mould vibration ,7:50,8:50,1,B/D,Mechanical,,,
400,Core loader,Core loader,Core loader centering check,23:58,0:06,0.13,B/D,Mechanical,,,
401,flag gate ,flag gate ,flag gate movement prob,19:20,23:20,4,B/D,Mechanical,,,
402,flag gate ,flag gate ,flag gate movement prob,0:45,2:40,1.92,B/D,Mechanical,,,
403,Core loader,Core loader,Core loader prob,20:00,20:50,0.83,B/D,Mechanical,,,
404,Core loader,Core loader,Core loader prob,21:00,23:20,2.33,B/D,Mechanical,,,
405,Uli tube,Uli tube,dry uli tube change ,4:35,6:00,1.42,B/D,Mechanical,,,
406,core,core,core wheel assembly change ,5:02,5:26,0.4,B/D,Mechanical,,,
407,Mould,Mould,water leakage from spt side ,9:42,9:47,0.08,B/D,Mechanical,,,
408,seal,seal,spt seal change,12:10,12:35,0.42,B/D,Mechanical,,,
409,fallchute,fallchute,A side fallchute guide stopper broken,14:15,15:15,1,B/D,Mechanical,,,
410,Core loader,Core loader,Core loader change ,4:46,5:10,0.4,B/D,Mechanical,,,
411,Trough ,Trough ,A side trough supporting roller change ,15:45,16:11,0.43,B/D,Mechanical,,,
412,Trough ,Trough ,B side trough supporting roller change ,0:20,0:25,0.08,B/D,Mechanical,,,
413,Trough ,Trough ,B side trough supporting roller change ,1:05,1:24,0.32,B/D,Mechanical,,,
414,Trough ,Trough ,B side trough supporting roller change ,3:55,4:49,0.9,B/D,Mechanical,,,
415,Core loader,Core loader,Core loader centering check,10:20,10:30,0.17,B/D,Mechanical,,,
416,core ,core ,core wheel assembly change ,5:05,5:25,0.33,B/D,Mechanical,,,
417,core ,core ,core wheel assembly change ,4:46,5:10,0.4,B/D,Mechanical,,,
418,core ring ,core ring ,core ring centering change ,11:37,11:49,0.2,B/D,Mechanical,,,
419,Core loader,Core loader,Core loader cylinder bush change  ,16:20,17:15,0.92,B/D,Mechanical,,,
420,Mould,Mould,water leakage from spt side ,9:40,9:45,0.08,B/D,Mechanical,,,
421,seal,seal,water leakage from spt side ,10:15,10:45,0.5,B/D,Mechanical,,,
422,Core loader,Core loader,Core loader compressure adjust,19:45,20:00,0.25,B/D,Mechanical,,,
423,PTT,PTT,PTT movement prob ,19:45,20:25,0.67,B/D,Mechanical,,,
424,extractor ,extractor ,extractor jaw clossing prob ,10:40,11:10,0.5,B/D,Mechanical,,,
425,core ring ,core ring ,core ring change ,14:15,15:00,0.75,B/D,Mechanical,,,
426,Core loader,Core loader,Core loader change ,2:27,2:41,0.23,B/D,Mechanical,,,
427,Core loader,Core loader,Core loader centering prob ,3:07,3:40,0.55,B/D,Mechanical,,,
428,MTC ,MTC ,MTC bracket prob,14:37,14:51,0.23,B/D,Mechanical,,,
429,MTC ,MTC ,MTC bracket broken,14:53,6:00,15.12,B/D,Mechanical,,,
430,Mould,Mould,water leakage from spt side ,6:45,6:50,0.08,B/D,Mechanical,,,
431,seal,seal,spt seal change,8:20,8:55,0.58,B/D,Mechanical,,,
432,seal,seal,spt seal change,9:58,10:20,0.37,B/D,Mechanical,,,
433,Trough ,Trough ,trough shifting prob ,1:56,2:29,0.55,B/D,Mechanical,,,
434,Mould,Mould,mould rotation prob,0:33,3:00,2.45,B/D,Mechanical,,,
435,MTC ,MTC ,MTC bracket broken,6:00,11:00,5,B/D,Mechanical,,,
436,extractor ,extractor ,extractor jaw clossing prob ,5:15,5:52,0.62,B/D,Mechanical,,,
437,Uli tube,Uli tube,dry uli tube change ,23:52,23:56,0.07,B/D,Mechanical,,,
438,Trough ,Trough ,b side hose pipe damage ,1:10,1:16,0.1,B/D,Mechanical,,,
439,seal,seal,spt seal change,1:25,2:10,0.75,B/D,Mechanical,,,
440,seal,seal,spt side dummy seal fixing ,3:40,3:47,0.12,B/D,Mechanical,,,
441,Trough ,Trough ,hydrulic oil leakage from trough tilting cylinder,7:00,8:35,1.58,B/D,Mechanical,,,
442,Trough ,Trough ,trough tilting hose tight ,13:40,13:50,0.17,B/D,Mechanical,,,
443,Trough ,Trough , A side trough tilting side hydrulic oil leakage ,21:40,23:15,1.58,B/D,Mechanical,,,
444,Trough ,Trough ,trough shifting lock pin welding ,6:42,7:45,1.05,B/D,Mechanical,,,
445,Core loader,Core loader,Core loader centering check,8:42,8:48,0.1,B/D,Mechanical,,,
446,core ring ,core ring ,core ring  change ,6:00,7:43,1.72,B/D,Mechanical,,,
447,core ring ,core ring ,core ring  change ,11:40,12:15,0.58,B/D,Mechanical,,,
448,Core loader,Core loader,Core loader centering check,8:58,9:08,0.17,B/D,Mechanical,,,
449,Core loader,Core loader,core loader wheel change,15:56,16:22,0.43,B/D,Mechanical,,,
450,Trough ,Trough ,b side trough tilting prob ,17:00,18:15,1.25,B/D,Mechanical,,,
451,extractor ,extractor ,extractor centering out,2:20,3:20,1,B/D,Mechanical,,,
452,CCM,CCM,under mechanical,11:00,19:40,8.67,B/D,Mechanical,,,
453,flag gate ,flag gate ,flag gate prob,19:40,19:55,0.25,B/D,Mechanical,,,
454,extractor ,extractor ,extractor centering change,3:15,3:37,0.37,B/D,Mechanical,,,
455,Core loader,Core loader,Core loader broken,4:57,5:15,0.3,B/D,Mechanical,,,
456,Core loader,Core loader,Core loader prob,22:50,23:30,0.67,B/D,Mechanical,,,
457,Mould,Mould,skt side nut change ,19:35,20:00,0.42,B/D,Mechanical,,,
458,core ring ,core ring ,core ring change ,5:00,6:00,1,B/D,Mechanical,,,
459,Mould,Mould,water leakage from spt side ,6:00,6:53,0.88,B/D,Mechanical,,,
460,Mould,Mould,Mould sleeve open out ,14:15,17:35,3.33,B/D,Mechanical,,,
461,Mould,Mould,mould change due to thickness variation,23:50,0:50,1,B/D,Mechanical,,,
462,Mould,Mould,mould change due to thickness variation,5:30,6:00,0.5,B/D,Mechanical,,,
463,core ring ,core ring ,core ring change ,6:00,7:10,1.17,B/D,Mechanical,,,
464,scrap trolley ,scrap trolley ,scrap trolley rope change ,5:10,5:45,0.58,B/D,Mechanical,,,
465,flag gate ,flag gate ,flag gate stand welding,6:30,7:00,0.5,B/D,Mechanical,,,
466,Trough ,Trough ,trough shifting prob ,23:36,23:48,0.2,B/D,Mechanical,,,
467,Trough ,Trough ,A side trough pressing roller change,15:50,16:55,1.08,B/D,Mechanical,,,
468,Trough ,Trough ,B side trough pressing roller change,23:00,23:35,0.58,B/D,Mechanical,,,
469,PTT,PTT,PTT b/d,15:25,15:35,0.17,B/D,Mechanical,,,
470,Mould,Mould,water leakage from spt side ,16:00,16:20,0.33,B/D,Mechanical,,,
471,PTT,PTT,PTT rope change,3:50,4:00,0.17,B/D,Mechanical,,,
472,extractor ,extractor ,extractor jaw clossing prob ,12:55,13:39,0.73,B/D,Mechanical,,,
473,Trough ,Trough ,A side trough hose change,17:12,17:18,0.1,B/D,Mechanical,,,
474,Trough ,Trough ,trough allignment ,4:10,5:30,1.33,B/D,Mechanical,,,
475,Uli tube,Uli tube,dry uli dropping prob,8:26,8:42,0.27,B/D,Mechanical,,,
476,Trough ,Trough ,B side trough alignment & B side trough pressing roller change,15:40,16:50,1.17,B/D,Mechanical,,,
477,fallchute,fallchute,fallchute nut & bolt tight,17:05,17:45,0.67,B/D,Mechanical,,,
478,Core loader,Core loader,Core loader housing change,10:47,10:53,0.1,B/D,Mechanical,,,
479,MTC,MTC,MTC change,21:10,21:22,0.2,B/D,Mechanical,,,
480,Trough ,Trough ,trough shifting prob ,6:35,7:06,0.52,B/D,Mechanical,,,
481,fallchute,fallchute,fallchute metal guard plate cover plate welding,16:26,16:44,0.3,B/D,Mechanical,,,
482,Core loader,Core loader,Core loader centering done ,23:20,23:30,0.17,B/D,Mechanical,,,
483,diabola,diabola,diabola shifting prob,10:25,10:34,0.15,B/D,Mechanical,,,
484,Core loader,Core loader,Core loader spring broken,7:22,7:29,0.12,B/D,Mechanical,,,
485,seal,seal,spt side water leakage,12:45,13:05,0.33,B/D,diabola cylinder  ,,,
486,flag gate ,flag gate ,hydrulic oil leakage from flaggate ,15:35,15:48,0.22,B/D,Mechanical,,,
487,MTC,MTC,MTC gland packing change,21:30,22:26,0.93,B/D,Mechanical,,,
488,Core loader/extractor,Core loader/extractor,Core loader & extractor centering done ,10:30,11:21,0.85,B/D,Mechanical,,,
489,MTC,MTC,MTC gland packing change,0:05,0:39,0.57,B/D,Mechanical,,,
490,trolley,trolley,trolley b/d,20:35,20:50,0.25,B/D,Mechanical,,,
491,extractor ,extractor ,extractor centering change,6:00,6:45,0.75,B/D,Mechanical,,,
492,trough ,trough ,A side trough tilting cylinder prob ,20:47,0:15,3.47,B/D,Mechanical,,,
493,Core loader,Core loader,Core loader centering out ,6:20,7:05,0.75,B/D,Mechanical,,,
494,Uli tube ,Uli tube ,dry uil dropping prob ,2:10,2:45,0.58,B/D,Mechanical,,,
495,ptt,ptt,ptt rope change ,0:45,0:57,0.2,B/D,Mechanical,,,
496,Uli tube ,Uli tube ,dry uil dropping prob ,8:25,10:50,2.42,B/D,Mechanical,,,
497,CCM,CCM,pipe stoper pin open out ,1:20,1:30,0.17,B/D,Mechanical,,,
498,MTC,MTC,MTC gland tight,15:35,16:00,0.42,B/D,Mechanical,,,
499,ptt,ptt,ptt rope change ,8:45,9:15,0.5,B/D,trough tilting prob,,,
500,trough ,trough ,A side trough supporting roller change ,22:30,22:45,0.25,B/D,Mechanical,,,
501,Extractor ,Extractor ,Extractor jaw pressure prob,6:41,6:44,0.05,B/D,Mechanical,,,
502,Mould,Mould,mould change due to core brust prob,14:40,16:18,1.63,B/D,Mechanical,,,
503,trough ,trough ,B side trough pressing roller change ,5:24,5:32,0.13,B/D,Mechanical,,,
504,CCM,CCM,casting time variation,9:13,10:19,1.1,B/D,cam roller ,,,
505,MTC,MTC,mtc gland packing change ,17:15,18:15,1,B/D,Mechanical,,,
506,roller,roller ,camp roller change,12:00,13:40,1.67,B/D,Mechanical,,,
507,trough ,trough ,B side trough pressing roller change ,2:15,3:15,1,B/D,Mechanical,,,
508,trough ,trough ,B side trough supporting roller change,4:00,4:35,0.58,B/D,Mechanical,,,
509,Extractor ,Extractor ,pipe extracting prob ,7:25,7:45,0.33,B/D,Mechanical,,,
510,Mould,Mould,water leakage from spt side ,15:15,16:27,1.2,B/D,Mechanical,,,
511,PTT ,PTT ,PTT prob,10:26,10:35,0.15,B/D,Mechanical,,,
512,PTT ,PTT ,PTT derail ,10:25,10:35,0.17,B/D,Mechanical,,,
513,Core loader,Core loader,Core loader change,15:25,15:35,0.17,B/D,Mechanical,,,
514,Core loader,Core loader,Core loader centering prob,2:45,2:53,0.13,B/D,Mechanical,,,
515,Mould,Mould,water leakage from spt side ,17:55,18:20,0.42,B/D,Mechanical,,,
516,Seal,Seal,Seal tighting ,0:22,0:44,0.37,B/D,Mechanical,,,
517,PTT ,PTT ,PTT  rope change,20:35,20:52,0.28,B/D,Mechanical,,,
518,MTC,MTC,MTC prob,12:00,12:25,0.42,B/D,Mechanical,,,
519,Dial gauge ,Dial gauge ,Dial gauge check,11:28,12:30,1.03,B/D,Mechanical,,,
520,trough ,trough ,B side trough supporting roller change,11:00,11:15,0.25,B/D,Mechanical,,,
521,Core Ring,Core Ring,Core Ring change,4:05,4:15,0.17,B/D,Mechanical,,,
522,Core Ring,Core Ring,Core Ring change,9:35,10:10,0.58,B/D,Mechanical,,,
523,trough ,trough ,A side trough tilting prob,22:25,23:15,0.83,B/D,Mechanical,,,
524,Mould,Mould,Mould rotating prob roller change,2:15,5:09,2.9,B/D,Mechanical,,,
525,trough ,trough ,trough shifting prob ,17:00,17:35,0.58,B/D,Mechanical,,,
526,Core loader,Core loader,Core loader housing change ,14:58,15:06,0.13,B/D,Mechanical,,,
527,CCM,CCM,skt drawn prob,15:37,15:51,0.23,B/D,Mechanical,,,
528,,,,,,,,,,,
529,sector ladle ,sector ladle ,sector ladle lifting up & down prob ,3:12,4:50,1.63,B/D,Mechanical,,,
530,trough ,trough ,A side trough supporting roller change ,23:20,23:35,0.25,B/D,Mechanical,,,
531,trough ,trough ,A side trough supporting roller change ,3:23,3:37,0.23,B/D,Mechanical,,,
532,Mould,Mould,water leakage from spt side ,23:40,23:48,0.13,B/D,Mechanical,,,
533,Mould,Mould,water leakage from spt side ,0:11,0:51,0.67,B/D,Mechanical,,,
534,flag gate ,flag gate ,spt side flag gate change ,23:40,23:48,0.13,B/D,Mechanical,,,
535,Core loader,Core loader,Core loader centering done,23:57,0:11,0.23,B/D,Mechanical,,,
536,sector ladle ,sector ladle ,sector ladle lifting up & down prob ,0:45,2:45,2,B/D,Mechanical,,,
537,Core loader,Core loader,Core loader change,10:49,10:55,0.1,B/D,Mechanical,,,
538,Core loader,Core loader,Core loader centering done,11:30,11:47,0.28,B/D,Mechanical,,,
539,PTT,PTT,PTT moving prob,1:45,2:20,0.58,B/D,Mechanical,,,
540,trough ,trough ,A side trough supporting roller change ,11:15,11:33,0.3,B/D,Mechanical,,,
541,trough ,trough ,A side trough allignment,12:00,12:40,0.67,B/D,Mechanical,,,
542,trough ,trough ,A side trough pressing roller jam,18:27,18:40,0.22,B/D,Mechanical,,,
543,Mould,Mould,water leakage from spt side ,14:35,15:50,1.25,B/D,Mechanical,,,
544,Core loader,Core loader,Core loader bolt tight ,22:12,22:40,0.47,B/D,Mechanical,,,
545,Mould,Mould,water leakage from spt side ,15:10,15:20,0.17,B/D,Mechanical,,,
546,MTC,MTC,MTC prob,0:40,0:55,0.25,B/D,Mechanical,,,
547,Mould,Mould,water leakage from spt side + trough shifting prob ,13:20,20:15,6.92,B/D,Mechanical,,,
548,trough ,trough ,A side trough tilting cylinder oil leakage ,9:20,9:45,0.42,B/D,Mechanical,,,
549,trough ,trough ,A side trough tilting cylinder oil leakage ,10:00,10:45,0.75,B/D,Mechanical,,,
550,CCM,CCM,head bearing nut tight ,16:36,16:48,0.2,B/D,Mechanical,,,
551,Mould,Mould,Water leakage from spt side ,12:05,12:17,0.2,B/D,Mechanical,,,
552,Mould,Mould,Water leakage from spt side ,15:29,15:49,0.33,B/D,Mechanical,,,
553,Core Ring,Core Ring,Core Ring centering due to c/b prob ,3:00,3:30,0.5,B/D,Mechanical,,,
554,Core loader,Core loader,Core loader centering done,11:30,11:45,0.25,B/D,Mechanical,,,
555,dial gauge ,dial gauge ,dial gauge checking ,17:05,17:15,0.17,B/D,Mechanical,,,
556,Core loader,Core loader,Core catcher pneumatic trial,17:15,18:00,0.75,B/D,Mechanical,,,
557,Roller ,Roller ,A side roller change ,6:10,6:45,0.58,B/D,Mechanical,,,
558,trough ,trough ,A side trough supporting roller change ,19:50,20:10,0.33,B/D,Mechanical,,,
559,trough ,trough ,fallchute stopper plate welding,8:25,8:35,0.17,B/D,Mechanical,,,
560,trough ,trough ,B side trough tilting prob ,13:40,16:45,3.08,B/D,Mechanical,,,
561,flag gate ,flag gate ,flag gate hose pipe change ,6:15,6:28,0.22,B/D,Mechanical,,,
562,flag gate ,flag gate ,spt side flag gate hydrulic oil leakage ,9:14,9:35,0.35,B/D,Mechanical,,,
563,trough ,trough ,B side trough allignment ,21:35,21:50,0.25,B/D,Mechanical,,,
564,fallchute ,fallchute ,Both side fallchute nut & bolt loose ,22:15,23:15,1,B/D,Mechanical,,,
565,Roller ,Roller ,B side trough supporting roller change,1:41,1:58,0.28,B/D,Mechanical,,,
566,uli unit ,uli unit ,chute uli screw rod jam ,23:15,23:20,0.08,B/D,Mechanical,,,
567,PTT,PTT,Ptt trolley movement prob ,18:53,19:00,0.12,B/D,Mechanical,,,
568,PTT,PTT,PTT rope change ,1:15,1:25,0.17,B/D,Mechanical,,,
569,trough ,trough ,B side trough tilting prob ,5:16,6:00,0.73,B/D,Mechanical,,,
570,PTT,PTT,PTT derail,9:06,9:12,0.1,B/D,Mechanical,,,
571,trough ,trough ,A side trough supporting roller change ,19:04,19:30,0.43,B/D,Mechanical,,,
572,Mould,Mould,water leakage from spt side ,10:20,10:30,0.17,B/D,Mechanical,,,
573,CCM,CCM,m/c full up during casting time,14:45,15:20,0.58,B/D,Mechanical,,,
574,Core Ring,Core Ring,Core Ring compressure prob,21:30,22:00,0.5,B/D,Mechanical,,,
575,Core loader,Core loader,Core loader centering done,18:25,18:30,0.08,B/D,Mechanical,,,
576,PTT,PTT,Ptt prob,13:50,14:38,0.8,B/D,Mechanical,,,
577,CCM,CCM,MTC CHANGE,10:02,17:37,7.58,B/D,Mechanical,,,
578,Mould,Mould,Mould sleeve pressing work ,15:20,16:30,1.17,B/D,Mechanical,,,
579,extractor ,extractor ,extractor centering done ,16:30,17:10,0.67,B/D,Mechanical,,,
580,trough ,trough ,A side trough supporting roller change ,17:55,18:10,0.25,B/D,Mechanical,,,
581,trough ,trough ,A side trough supporting roller change ,5:32,5:39,0.12,B/D,Mechanical,,,
582,extractor ,extractor ,extractor open & close prob ,1:05,1:51,0.77,B/D,Mechanical,,,
583,PTT,PTT,PTT B/D,20:57,21:45,0.8,B/D,Mechanical,,,
584,PTT,PTT,PTT rope change ,0:40,1:10,0.5,B/D,Mechanical,,,
585,flag gate ,flag gate ,skt side flag gate change ,1:10,1:20,0.17,B/D,Mechanical,,,
586,Core loader,Core loader,Core loader spring broken,3:10,3:25,0.25,B/D,Mechanical,,,
587,Mould,Mould,water leakage from spt side ,22:00,22:50,0.83,B/D,Mechanical,,,
588,trough ,trough ,A side trough supporting roller change ,12:40,12:46,0.1,B/D,Mechanical,,,
589,trough ,trough ,A side trough supporting roller change ,20:50,21:05,0.25,B/D,Mechanical,,,
590,trough ,trough ,A side trough supporting roller change ,1:38,1:52,0.23,B/D,Mechanical,,,
591,Core loader/extractor,Core loader/extractor,Core loader/extractor centering done ,15:20,16:20,1,B/D,Mechanical,,,
592,Mould,Mould,mould chane delay due to grease pipe opening by mechanical,3:00,3:20,0.33,B/D,Mechanical,,,
593,Mould,Mould,water leakage from spt side ,22:11,22:27,0.27,B/D,Mechanical,,,
594,trough ,trough ,A side trough supporting roller change ,12:45,13:00,0.25,B/D,Mechanical,,,
595,trough ,trough ,A side trough supporting roller change ,15:34,15:50,0.27,B/D,Mechanical,,,
596,cam roller ,cam roller ,cam roller not rotate,20:20,20:40,0.33,B/D,Mechanical,,,
597,Mould,Mould,Mould change time Socket water leakage ,17:00,19:36,2.6,B/D,Mechanical,,,
598,trough ,trough ,trough allignment due to drawn prob,23:10,23:25,0.25,B/D,Mechanical,,,
599,Mould,Mould,water leakage from spt side ,23:35,0:00,0.42,B/D,Mechanical,,,
600,Mould,Mould,Mould change time Socket water leakage ,0:10,1:20,1.17,B/D,Mechanical,,,
601,Core loader,Core loader,Core loader spring broken,17:37,17:44,0.12,B/D,Mechanical,,,
602,Mould,Mould,Mould vibration,6:48,7:25,0.62,B/D,Mechanical,,,
603,Diabola,Diabola,A side Diabola derailed-braket change ,14:35,17:00,2.42,B/D,Mechanical,,,
604,Core loader,Core loader,Core loader cylinder pin open out ,7:37,8:00,0.38,B/D,Mechanical,,,
605,Mould,Mould,Mould rotation jam ,11:26,11:50,0.4,B/D,Mechanical,,,
606,Core loader,Core loader,Core loader unit change,16:30,16:52,0.37,B/D,Mechanical,,,
607,extractor ,extractor ,extractor change,20:30,20:50,0.33,B/D,Mechanical,,,
608,Extractor,Extractor,Extractor jaw clossing cylinder hose change ,7:00,7:24,0.4,B/D,Mechanical,,Extractor open-close jam cylinder oil leakage from piston rod end hose,Hose changed
609,Core ring ,Core ring ,Core ring change,17:10,17:17,0.12,B/D,Mechanical,,Core open out from core ring,core loader housing changed
610,Core loader,Core loader,Core wheel assembly change,22:42,23:31,0.82,B/D,Mechanical,,Core burst,Core loader changed & center alignment done
611,trough,trough,A side trough tilting cylinder change,8:45,9:40,0.92,B/D,Mechanical,,A-side trough tilting cylinder oil leakage due to hose damaged ,Hose changed
612,trough,trough,B side trough shifting prob ,17:00,17:21,0.35,B/D,Mechanical,,B-side trough shifting cylinder back side holding bracket screw end position broken,Screw rod with bracket welding
613,Core loader,Core loader,Core loader assembly change,1:50,2:02,0.2,B/D,Mechanical,,Skt Metal,Core Loader Changing & Center Alignment
614,Core ring ,Core ring ,Core ring change,1:00,1:10,0.17,B/D,Mechanical,,Burst Socket,Core Loader Changing & Core ring compression check
615,Core loader,Core loader,Core loader centering ,2:35,2:50,0.25,B/D,Mechanical,,No Record,
616,PTT,PTT,PTT rope change,11:50,12:30,0.67,B/D,Mechanical,,PTT Rope got cut due to stuck with guide Channel,Ptt Rope Changed & Wooden piece placed near channel area
617,Shut Down,Shut Down,Shut Down,7:30,18:27,10.95,Shut Down,Management,,,
618,Extractor,Extractor,Extractor jaw clossing prob,3:25,3:35,0.17,B/D,Mechanical,,No Record,
619,Core loader,Core loader,Core loader centering & change,5:15,5:45,0.5,B/D,Mechanical,,No Record,
620,Shut Down,Shut Down,Shut Down,8:00,18:23,10.38,Shut Down,Management,,,
621,Shut Down,Shut Down,Shut Down +SIZE CHANGE,8:00,18:23,10.38,Shut Down,Management,,,
622,Core ring ,Core ring ,Core ring open out,0:28,0:43,0.25,B/D,Mechanical,,Housing & bearing shaft came out,Core Loader Assembly change
623,Core ring ,Core ring ,Core ring change,2:05,2:45,0.67,B/D,Mechanical,,Core Burst ,Core Loader Changed & core ringcenter alignment adjusting 
624,Shut Down,Shut Down,Shut Down,8:00,18:23,10.38,Shut Down,Management,,,
625,Shut Down,Shut Down,Shut Down,8:00,18:23,10.38,Shut Down,Management,,,
626,PTT,PTT,PTT prob ,22:22,22:50,0.47,B/D,Mechanical,,Non-drive end double pulley rope slip,Rope repositioning 
627,MTC ,MTC ,MTC gland bolt tighting & trough shifting cylinder lock pin fixing ,17:00,18:12,1.2,B/D,Mechanical,,MTC Gland,MTC gland Tight Work done & Sleeve Change
628,trough,trough,trough supporting roller change ,16:45,18:00,1.25,B/D,Mechanical,,B-side trough supporting roller body metal stick,Roller Body Grinded & clamped tight
629,CCM,CCM,under mechanical,11:12,11:38,0.43,B/D,Mechanical,,Diabola Derial & one flat wheel open out,Diabola Positioning and wheel fitted tight
630,trough,trough,B side trough roller change+ core loader centering,16:30,16:55,0.42,B/D,Mechanical,,Roller Change (During Mould Change) ,B side trough roller change and core loader centering
631,Mould,Mould,mould rotation stop after skt.filling -huge metal stick under the A ,6:32,7:00,0.47,B/D,Mechanical,,No Record,
632,Mould,Mould,Mould change due to metal stick,7:10,8:35,1.42,B/D,Mechanical,,No Record,
633,Mould,Mould,mould change due to mould vibration & skt side water leakage ,13:15,15:58,2.72,B/D,Mechanical,,Mould Vibration & Skt Water leakage,Sleeve Changed
634,metal,metal,spt side metal guard prob,20:27,20:57,0.5,B/D,Mechanical,,Spt Jam due to Extra Metal deposit,Metal Cleaning and Guard fixing 
635,Core loader,Core loader,Core loader centering check,4:49,4:55,0.1,B/D,Mechanical,,Skt Metal Fly,Core Loader centering
636,Core loader,Core loader,Core loader ring change ,9:15,9:30,0.25,B/D,Mechanical,,Core Curst,Core Loader unit Change
637,Dial gauge ,Dial gauge ,Dial gauge checking ,9:48,10:05,0.28,B/D,Mechanical,,No Record,
638,Dial gauge ,Dial gauge ,Dial gauge checking ,11:18,11:54,0.6,B/D,Mechanical,,Thickness Variation,One stud bolt change dial Reduced at both ends
639,Mould,Mould,Mould change due to water leakage from spt side ,17:45,19:10,1.42,B/D,Mechanical,,Spt side Water Leakage,Mould Change
640,PTT,PTT,PTT prob ,22:56,23:11,0.25,B/D,Mechanical,,PTT stapping at any position as its double pulley in non-drive area was found jam,Non-drive area cleaned
641,,,,,,,,,,,
642,Mould,Mould,mould sleeve open out -spt side metal cleaned,9:50,10:30,0.67,B/D,Mechanical,,Spt Metal Jam,Metal Cleaned
643,Mould,Mould,spt side metal guard cutting,10:30,11:00,0.5,B/D,Mechanical,,Spt Metal Guard Bend,metal Cutting 
644,Core loader,Core loader,Core loader housing change ,7:44,7:54,0.17,B/D,Mechanical,,Core Loader Spring Broken,Core Loader Changed
645,Mould,Mould,Mould change due to skt side water leakage ,16:09,17:29,1.33,B/D,Mechanical,,Head Bearing No6 V-Seal Water Leakage ,Sleeve Changed
646,trough,trough,B side trough supporting roller change ,6:20,7:00,0.67,B/D,Mechanical,,B side trough supporting roller bracket guide shaft bend,Trough supporting roller change
647,Core loader/extractor,Core loader/extractor,Core loader/extractor centering check,7:00,7:30,0.5,B/D,Mechanical,,No Record,
648,Core loader,Core loader,Core loader centering done,8:17,8:27,0.17,B/D,Mechanical,,Pipe Socket fringes coming,Core loader compression Increased
649,Core loader,Core loader,Core loader centering done,11:18,11:29,0.18,B/D,Mechanical,,Core loader ring broken,Core loader change
650,Mould,Mould,head bearing open out from mould sleeve + V belt open out ,20:26,22:40,2.23,B/D,Mechanical,,Head Bearing No4 Came Out with Outer Race,Sleeve Changed
651,Core loader,Core loader,Core loader centering out ,7:33,8:00,0.45,B/D,Mechanical,,Core Burst due to centering Problem,Core Loader Centering Done
652,Core loader,Core loader,Core loader centering prob ,3:40,4:10,0.5,B/D,Mechanical,,Core Burst due to centering Problem,Core Loader Changed and Centered
653,Dial gauge ,Dial gauge ,Dial gauge checking ,7:20,7:55,0.58,B/D,Mechanical,,No Record,
654,flag gate ,flag gate ,flag gate adjustment,18:35,18:55,0.33,B/D,Mechanical,,No Record,
655,Core loader,Core loader,Core loader shaft & ring change,0:08,0:20,0.2,B/D,Mechanical,,Core Loader Housing Shaft got bend,Core Loader Changed
